Owner	Project	Title	Link	Fix Link	Stars	TF-IDFs	Size	Datetime	Arrow	Pendulum	Category 1	Category 2	Erroneous Computation 1	Erroneous Computation 2	Erroneous Computation 3	Obscurity	Impact	# LOC	Logic Needed	Bug Pattern 1	Bug Pattern 2	Bug Pattern 3
KoffeinFlummi	Chronyk	relative month parsing fails when target month has fewer days than the current date	https://github.com/KoffeinFlummi/Chronyk/issues/5	https://github.com/KoffeinFlummi/Chronyk/commit/5d7a1e233915041edd5b48e763003a11af138b4c	344.0	0.5531081467	1670.0	1.0	0.0	0.0	Calendar Date	String Representation	String Handling	String Handling		Medium	Medium	Medium	Medium	Unintuitive Arithmetic	OOB Datetimes or Timestamps	
ranaroussi	yfinance	Ticker.history() start and end datetime doesn't account for timezones	https://github.com/ranaroussi/yfinance/issues/545	https://github.com/ranaroussi/yfinance/pull/546	12242.0	0.5460838778	1339.0	1.0	0.0	0.0	Timestamps		Timestamp			Medium	Medium	Low	Low	Unintuitive Arithmetic	Dropping Time Zone Information	
nextcord	nextcord	datetime.datetime.utcnow is deprecated in Python 3.12	https://github.com/nextcord/nextcord/issues/1062	https://github.com/nextcord/nextcord/pull/1107	1145.0	0.5450500429	1168.0	1.0	0.0	0.0	Other		Datetime (Construction)			Low	Low	Low	Low	Outdated/Deprecated APIs		
model-bakers	model_bakery	seq doesn't work for timezone aware datetime objects	https://github.com/model-bakers/model_bakery/issues/322	https://github.com/model-bakers/model_bakery/pull/353	806.0	0.5443551003	1955.0	1.0	0.0	0.0	Time Zone		Datetime (Arithmetic)	Timestamp	Time Delta	Low	Medium	Medium	Low	Using NaÃ¯ve Datetime Incorrectly		
aws	aws-sdk-pandas	Unexpected exception `TypeError: 'NoneType' object is not subscriptable` reading parquet files with timezone aware timestamps	https://github.com/aws/aws-sdk-pandas/issues/1823	https://github.com/aws/aws-sdk-pandas/pull/1840	3834.0	0.541965309	2215.0	1.0	0.0	0.0	Time Zone	String Representation	String Handling			Low	High	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
meteostat	meteostat-python	`Hourly` attempts to fetch data of next year	https://github.com/meteostat/meteostat-python/issues/132	https://github.com/meteostat/meteostat-python/commit/e3a927e6595d596e1b2649ea44b7df860e0760c6	379.0	0.5385583466	2875.0	1.0	0.0	0.0	Calendar Date		Datetime (Construction)			Low	High	Low	Medium	Unintuitive Arithmetic		
scrapinghub	dateparser	Returned datetime skips a day with time+timezone input and PREFER_DATES_FROM = 'future'	https://github.com/scrapinghub/dateparser/issues/403	https://github.com/reminder-bot/bot/pull/15	2480.0	0.5368515631	5721.0	1.0	0.0	0.0	Time Zone	String Representation	Datetime (Component)	String Handling		Medium	Medium	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
BittyTax	BittyTax	bug: GMT, BST are not the same as Europe/London	https://github.com/BittyTax/BittyTax/issues/251	https://github.com/BittyTax/BittyTax/commit/e7f4bd3a0e9382effb57190be11c9b1f348c677d	407.0	0.5349894054	1541.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Medium	Medium	Low	Low	General		
dateutil	dateutil	tzwin for the same timezone string does not compare equal	https://github.com/dateutil/dateutil/issues/151	https://github.com/dateutil/dateutil/pull/180	2266.0	0.5328494159	1188.0	1.0	0.0	0.0	Time Zone		Time Zone Localization			Medium	Medium	Medium	Low	Comparing Time Zones		
dateutil	dateutil	"AttributeError when strftime argument includes ""%Z"" for datetime.time"	https://github.com/dateutil/dateutil/issues/292	https://github.com/dateutil/dateutil/pull/309	2266.0	0.5290038546	1327.0	1.0	0.0	0.0	Time Zone		String Handling	Datetime (Construction)		Medium	Medium	Medium	Low	Incorrect Format Assumptions		
Couchers-org	couchers	Timezone issues in DB	https://github.com/Couchers-org/couchers/issues/322	https://github.com/Couchers-org/couchers/pull/324	355.0	0.5236403226	6243.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)	Datetime (Arithmetic)		Low	High	Medium	Low	Using NaÃ¯ve Datetime Incorrectly		
dateutil	dateutil	dateutil does not accept a dt argument of None	https://github.com/dateutil/dateutil/issues/132	https://github.com/dateutil/dateutil/pull/141	2266.0	0.5224267405	1566.0	1.0	0.0	0.0	Time Zone		Datetime (Component)			Low	Medium	Very High	High	Incorrect Format Assumptions		
sdispater	pendulum	Interprets 2 digit year 85 as 2085 instead of 1985	https://github.com/sdispater/pendulum/issues/686	https://github.com/MrAlexBailey/pendulum-fix-YY/commit/1e560c9ccf5b11fd2beab409e81e123eb0ddb160	6109.0	0.5210428648	1601.0	1.0	0.0	1.0	Calendar Date	String Representation	String Handling			Low	Medium	Medium	Low	Unintuitive Arithmetic	Precision of Representation	OOB Datetimes or Timestamps
sdispater	pendulum	"Inconsistency with 'parse(""13:00"")' depending if Pendulum is built with C extensions or not"	https://github.com/sdispater/pendulum/issues/210	https://github.com/sdispater/pendulum/pull/251	6109.0	0.5203829295	1672.0	1.0	0.0	1.0	String Representation		String Handling	Datetime (Construction)		Medium	High	Medium	Medium	Precision of Representation		
ranaroussi	yfinance	Issue with DateTime index in yf.download	https://github.com/ranaroussi/yfinance/issues/125	https://github.com/rdiere/yfinance/commit/e7966b98b447002f0cff3070ad3054b1bcb8f97f	12242.0	0.5179997578	2992.0	1.0	0.0	0.0	String Representation		String Handling	Datetime (Construction)	Datetime (Arithmetic)	Medium	Medium	Medium	Low	Precision of Representation		
zulip	zulip	Naive datetime warnings in populate_db	https://github.com/zulip/zulip/issues/2729	https://github.com/refeed/zulip/commit/4d50ba5e6fd987fbbe7267727fdd72816964b84b	20271.0	0.5131649887	2537.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Low	Medium	Low	Low	Using NaÃ¯ve Datetime Incorrectly		
pydantic	pydantic	Pydantic TzInfo(UTC) != datetime.UTC	https://github.com/pydantic/pydantic/issues/8683	https://github.com/pydantic/pydantic-core/pull/1197	19350.0	0.5128671556	5200.0	1.0	0.0	0.0	Time Zone		Time Zone Localization	Datetime (Construction)		Low	Low	Medium	Medium	Comparing Time Zones		
jborean93	smbprotocol	OverflowError when parsing timestamp header.	https://github.com/jborean93/smbprotocol/issues/114	https://github.com/demisto/content/pull/13345	302.0	0.5124121136	1676.0	1.0	0.0	0.0	Timestamps		Timestamp	String Handling		Medium	Medium	High	Medium	OOB Datetimes or Timestamps		
snooze92	alfred-epoch-converter	Guard against system bad timezone	https://github.com/snooze92/alfred-epoch-converter/issues/13	https://github.com/snooze92/alfred-epoch-converter/pull/14	154.0	0.5116369134	1457.0	1.0	0.0	0.0	Time Zone	DST	Datetime (Arithmetic)	Time Delta	Time Zone Localization	Medium	Medium	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
agronholm	apscheduler	One-off job incorrectly scheduled if scheduler timezone different from system timezone	https://github.com/agronholm/apscheduler/issues/133	https://github.com/agronholm/apscheduler/commit/7ef878c6b4504727b5640e9c66f07dc40ed9249a	5869.0	0.5081901638	2368.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Medium	Medium	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
sdispater	pendulum	RecursionError when add or subtract-ing with a fixed offset timezone	https://github.com/sdispater/pendulum/issues/422	https://github.com/sdispater/pendulum/pull/431	6109.0	0.506924129	6459.0	1.0	0.0	1.0	Time Zone		Datetime (Arithmetic)	Time Zone Localization		Low	High	Low	Medium	General		
pallets-eco	flask-session	can't compare offset-naive and offset-aware datetimes	https://github.com/pallets-eco/flask-session/issues/85	https://github.com/pallets-eco/flask-session/pull/100	487.0	0.5059789004	1459.0	1.0	0.0	0.0	Time Zone		Datetime (Arithmetic)			Low	Medium	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
trinodb	trino-python-client	Timestamp with time zone not mapped correctly	https://github.com/trinodb/trino-python-client/issues/366	https://github.com/trinodb/trino-python-client/pull/367	302.0	0.5032186542	1677.0	1.0	0.0	0.0	Time Zone	String Representation	Datetime (Construction)	Time Zone Localization	String Handling	Low	Medium	High	Medium	Incorrect API Usage		
apache	airflow	datetime.utcnow and datetime.utcfromtimestamp are deprecated in Python 3.12	https://github.com/apache/airflow/issues/32344	https://github.com/apache/airflow/pull/35448	35031.0	0.5018147482	4244.0	1.0	0.0	1.0	Other		Datetime (Construction)			Low	Low	Very High	Low	Outdated/Deprecated APIs		
eclecticiq	OpenTAXII	Timestamps are incorrectly stored when the database is running in a non-UTC timezone.	https://github.com/eclecticiq/OpenTAXII/issues/138	https://github.com/eclecticiq/OpenTAXII/pull/139	182.0	0.4984190305	1718.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Low	Medium	Medium	Low	Using NaÃ¯ve Datetime Incorrectly		
timvink	mkdocs-git-revision-date-localized-plugin	`timezone` appears not to work	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/issues/79	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/pull/80	177.0	0.4970041183	1179.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Low	Medium	Low	Low	General		
agronholm	apscheduler	Infinite loop in CalendarIntervalTrigger with UTC timezone	https://github.com/agronholm/apscheduler/issues/897	https://github.com/agronholm/apscheduler/pull/898	5869.0	0.4965091183	1557.0	1.0	0.0	0.0	Time Zone		Datetime (Arithmetic)			Low	Medium	Low	Low	Comparing Time Zones	Dropping Time Zone Information	
python	cpython	"Document the ""gotcha"" behaviors in utcnow() and utcfromtimestamp()"	https://github.com/python/cpython/issues/81669	https://github.com/odoo-dev/odoo/commit/67ff28cef66214328f26b5f3187a9ee85f8d9204	60455.0	0.4962715993	3847.0	1.0	0.0	0.0	Other		Datetime (Construction)	Time Zone Localization		Medium	Medium	Low	Medium	Outdated/Deprecated APIs		
ClickHouse	clickhouse-connect	Timezone-aware DateTime64 columns now returned missing the timezone info	https://github.com/ClickHouse/clickhouse-connect/issues/136	https://github.com/ClickHouse/clickhouse-connect/pull/137	272.0	0.4957090367	5069.0	1.0	1.0	0.0	Time Zone		Datetime (Construction)			Low	Medium	High	High	Dropping Time Zone Information		
dbt-labs	dbt-core	[CT-3374] [Bug] test_utils.TestCurrentTimestamp.test_current_timestamp_matches_utc is failing for the MacOS runner	https://github.com/dbt-labs/dbt-core/issues/9057	https://github.com/dbt-labs/dbt-core/pull/9058	9138.0	0.4935733761	2752.0	1.0	0.0	0.0	Duration		Time Delta	Time Delta	Datetime (Construction)	Low	Low	Low	Low	General		
certtools	intelmq	Harmonization DateTime incorrect handling of naive time strings	https://github.com/certtools/intelmq/issues/2278	https://github.com/gethvi/intelmq/commit/213ab60985d5b4ab2d1e6923c5d588b5efaf0c1c	944.0	0.4929734988	3073.0	1.0	0.0	1.0	Time Zone	String Representation	Time Zone Localization	String Handling	Datetime (Construction)	Low	Medium	High	Medium	Dropping Time Zone Information		
googleapis	python-bigquery	Timestamp loss of precision in insert_rows	https://github.com/googleapis/python-bigquery/issues/392	https://github.com/googleapis/python-bigquery/pull/393	717.0	0.4902244991	2030.0	1.0	0.0	0.0	String Representation	Timestamps	String Handling	Timestamp		Medium	Medium	Low	Low	Precision of Representation		
weewx	weewx	Daylight savings changeovers at midnight cause problems with daily summaries	https://github.com/weewx/weewx/issues/356	https://github.com/weewx/weewx/commit/0a5ee55d08262f12718f2367adb02d216fb7e610	974.0	0.489287511	1927.0	1.0	0.0	0.0	DST	Timestamps	Datetime (Construction)	Datetime (Component)		Medium	Low	Medium	Medium	Unintuitive Arithmetic	Precision of Representation	
pyopenapi	pyswagger	ISO 8601 timestamps with milliseconds are not parsed properly	https://github.com/pyopenapi/pyswagger/issues/83	https://github.com/pyopenapi/pyswagger/commit/9ff197972a6247f0f3849a625ec24acc1a35b6ab	381.0	0.4880820245	1868.0	1.0	0.0	0.0	String Representation	Time Zone	Datetime (Component)	String Handling		Low	Medium	Medium	Low	Incorrect Format Assumptions	Dropping Time Zone Information	
googleapis	python-bigquery-pandas	TST: dtype for BigQuery TIMESTAMP unexpectedly using datetime64[ns, UTC] dtype	https://github.com/googleapis/python-bigquery-pandas/issues/261	https://github.com/googleapis/python-bigquery-pandas/pull/262	425.0	0.4870506346	4424.0	1.0	0.0	0.0	Time Zone		Time Zone Localization	Timestamp		Low	Medium	Low	Low	General		
richardpenman	whois	Some registrars have timezones for expiration, some don't	https://github.com/richardpenman/whois/issues/183	https://github.com/richardpenman/whois/pull/209	340.0	0.4797678369	2287.0	1.0	0.0	0.0	Time Zone		Time Zone Localization	Datetime (Construction)		Low	Medium	Low	Low	Using NaÃ¯ve Datetime Incorrectly		
opendatacube	datacube-core	API Query doctest fails due to different timezone representation	https://github.com/opendatacube/datacube-core/issues/1485	https://github.com/opendatacube/datacube-core/pull/1527	492.0	0.4757127454	1398.0	1.0	0.0	0.0	Time Zone		Datetime (Arithmetic)			Low	Low	Low	Low	General	Comparing Time Zones	
dask-contrib	dask-sql	Timestamp improvements	https://github.com/dask-contrib/dask-sql/issues/982	https://github.com/dask-contrib/dask-sql/pull/973	372.0	0.475178856	1256.0	1.0	0.0	0.0	Timestamps		Timestamp	Datetime (Construction)		Medium	Low	Medium	Medium	Precision of Representation	OOB Datetimes or Timestamps	
kennethreitz	maya	Inconsistent conversion of datetime slang	https://github.com/kennethreitz/maya/issues/36	https://github.com/kennethreitz/maya/pull/38	3407.0	0.4749997788	1396.0	1.0	0.0	1.0	String Representation	Time Zone	String Handling	Datetime (Component)		Medium	Medium	Low	Low	Using NaÃ¯ve Datetime Incorrectly	Dropping Time Zone Information	
tobymao	sqlglot	Transforming a presto literal timestamp query to duckdb	https://github.com/tobymao/sqlglot/issues/1779	https://github.com/tobymao/sqlglot/pull/1780	5871.0	0.4743360269	1836.0	1.0	0.0	0.0	Calendar Date	Duration	Time Delta			Low	Medium	Medium	Low	Incorrect Format Assumptions		
python-social-auth	social-core	UserMixin.expiration_timedelta() returns wrong value because timedelta is calculated using different timezones	https://github.com/python-social-auth/social-core/issues/128	https://github.com/python-social-auth/social-core/pull/129	832.0	0.4741014125	2224.0	1.0	0.0	0.0	Duration		Datetime (Arithmetic)	Datetime (Construction)	Time Delta	Low	Medium	Low	Low	Using NaÃ¯ve Datetime Incorrectly		
art049	odmantic	pydantic ValidationError for datetime fields if microsecond is 999xyz	https://github.com/art049/odmantic/issues/99	https://github.com/art049/odmantic/pull/100	1002.0	0.4727722801	2059.0	1.0	0.0	0.0	String Representation	Calendar Date	Datetime (Construction)	Datetime (Component)	String Handling	Medium	Medium	Low	Low	Precision of Representation	Incorrect Format Assumptions	
python-openapi	openapi-core	Consider moving to isodate.parse_datetime as date time string unmarsaller	https://github.com/python-openapi/openapi-core/issues/235	https://github.com/python-openapi/openapi-core/pull/237	282.0	0.4672578992	1248.0	1.0	0.0	0.0	String Representation	Time Zone	String Handling	Datetime (Construction)		Low	Medium	Medium	Low	Dropping Time Zone Information		
jschneier	django-storages	modified_time in s3boto3 raises ValueError: astimezone() cannot be applied to a naive datetime	https://github.com/jschneier/django-storages/issues/225	https://github.com/jschneier/django-storages/pull/226	2664.0	0.4669540982	1203.0	1.0	0.0	0.0	Time Zone		Time Zone Localization			Low	High	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
sdispater	pendulum	pendulum.DateTime using hardcoded pendulum.datetime in methods	https://github.com/sdispater/pendulum/issues/203	https://github.com/sdispater/pendulum/pull/707	6109.0	0.4660724547	1297.0	1.0	0.0	1.0	Other		Datetime (Construction)			Low	High	High	High	General		
stac-utils	pystac-client	search result depends on datetime format	https://github.com/stac-utils/pystac-client/issues/644	https://github.com/stac-utils/pystac-client/pull/686	146.0	0.4648592497	8577.0	1.0	0.0	0.0	Time Zone	String Representation	Time Zone Localization	String Handling		Medium	Medium	Low	Medium	Using NaÃ¯ve Datetime Incorrectly		
sdispater	pendulum	deepcopy on DateTime produces incorrect offset in copy during dst transition	https://github.com/sdispater/pendulum/issues/767	https://github.com/sdispater/pendulum/commit/eab4f0e4bcd75468e463da3c5fc5eff60d37a696	6109.0	0.4613947502	2697.0	1.0	0.0	1.0	DST		Datetime (Construction)			High	Medium	Medium	Low	Unspecified Fold		
gjcarneiro	yacron	wrong task start time(due to UTC)	https://github.com/gjcarneiro/yacron/issues/17	https://github.com/gjcarneiro/yacron/commit/84cf969eef6f957fa824d9973b892b9626d2de11	447.0	0.4594198086	1275.0	1.0	0.0	0.0	Time Zone	Other	Datetime (Construction)			Low	Medium	Medium	Low	Using NaÃ¯ve Datetime Incorrectly	Outdated/Deprecated APIs	
influxdata	influxdb-client-python	Nanoseconds lost when pd.Timestamp is used as a query parameter	https://github.com/influxdata/influxdb-client-python/issues/455	https://github.com/influxdata/influxdb-client-python/pull/457	677.0	0.4578990733	1016.0	1.0	0.0	0.0	String Representation		String Handling			Low	Low	Medium	Low	Precision of Representation		
dateutil	dateutil	Allow tzinfos to return None	https://github.com/dateutil/dateutil/issues/661	https://github.com/dateutil/dateutil/pull/540	2266.0	0.4577893797	1295.0	1.0	0.0	0.0	Time Zone	String Representation	String Handling	String Handling	Datetime (Component)	Medium	Low	Medium	Medium	Incorrect Format Assumptions	Dropping Time Zone Information	
echoboomer	incident-bot	[BUG] Timestamp mismatch	https://github.com/echoboomer/incident-bot/issues/453	https://github.com/echoboomer/incident-bot/pull/461	112.0	0.4570247449	2410.0	1.0	0.0	0.0	Time Zone		Time Zone Localization			Low	Medium	Medium	Low	Incorrect API Usage		
dora-metrics	pelorus	convert_date_time_to_timestamp incorrectly handles timezones	https://github.com/dora-metrics/pelorus/issues/662	https://github.com/dora-metrics/pelorus/pull/664	238.0	0.4546595501	3465.0	1.0	0.0	0.0	Time Zone	Timestamps	Timestamp	Time Zone Localization		Low	Medium	Very High	High	Dropping Time Zone Information		
sdispater	pendulum	Bad results using .replace() during DST transitioning off	https://github.com/sdispater/pendulum/issues/415	https://github.com/sdispater/pendulum/pull/414	6109.0	0.4538252292	1491.0	1.0	0.0	1.0	DST		Datetime (Component)			High	Medium	Low	Low	Unspecified Fold		
aws	aws-sdk-pandas	"read_parquet with Pyarrow backed tries to tz_localize(tz=""UTC"") on already localised UTC timestamps"	https://github.com/aws/aws-sdk-pandas/issues/2410	https://github.com/aws/aws-sdk-pandas/pull/2411	3834.0	0.4530123304	2018.0	1.0	0.0	0.0	Time Zone		Time Zone Localization			Low	High	Low	Medium	Using NaÃ¯ve Datetime Incorrectly		
heavyai	pymapd	"TypeError: Invalid datetime unit in metadata string ""[ns, UTC]"" while inserting records into Timestamp column"	https://github.com/heavyai/pymapd/issues/253	https://github.com/heavyai/pymapd/commit/1647bdd12cc8ac02a4b54eecc399c6159e5bf000	111.0	0.452256298	1372.0	1.0	0.0	0.0	Time Zone	String Representation	String Handling			Low	Medium	Medium	Low	Dropping Time Zone Information		
dateutil	dateutil	tzlocal uses startup timezone; parse uses runtime timezone	https://github.com/dateutil/dateutil/issues/100	https://github.com/dateutil/dateutil/pull/101	2266.0	0.4518933849	1917.0	1.0	0.0	0.0	Time Zone	DST	Time Zone Localization	Datetime (Construction)		Medium	Medium	Medium	Medium	Unintuitive Arithmetic		
brython-dev	brython	datetime.strptime and time.strptime  don't parse dates with month > 9	https://github.com/brython-dev/brython/issues/1849	https://github.com/brython-dev/brython/commit/2e6b2fbcc80b65fdd62193a303e73cc38af6b766	6292.0	0.4500111221	2048.0	1.0	0.0	0.0	String Representation		String Handling			Low	High	High	Medium	Incorrect Format Assumptions		
sktime	sktime	[BUG] `day_of_year` is not generated in `DateTimeFeatures` transformation	https://github.com/sktime/sktime/issues/3188	https://github.com/sktime/sktime/pull/3222	7514.0	0.4491603577	1687.0	1.0	0.0	0.0	Calendar Date		Datetime (Component)			Low	Medium	High	Medium	Incorrect API Usage	Incorrect Format Assumptions	
census-instrumentation	opencensus-python	datetime parsing in tracer fails sometimes	https://github.com/census-instrumentation/opencensus-python/issues/547	https://github.com/census-instrumentation/opencensus-python/pull/552	663.0	0.4487905736	1604.0	1.0	0.0	0.0	String Representation	Timestamps	String Handling			High	Medium	Medium	Medium	Incorrect Format Assumptions		
SEED-platform	seed	Strftime fails for buildings older than 1900	https://github.com/SEED-platform/seed/issues/1439	https://github.com/SEED-platform/seed/pull/1444	106.0	0.4442925925	1652.0	1.0	0.0	0.0	String Representation	Calendar Date	String Handling	Datetime (Construction)		Medium	High	Medium	Low	OOB Datetimes or Timestamps		
googleapis	python-storage	Accessing blob.custom_time errors on 0 microsecond timestamp	https://github.com/googleapis/python-storage/issues/363	https://github.com/googleapis/python-storage/pull/371	420.0	0.4400521562	3395.0	1.0	0.0	0.0	String Representation	Timestamps	String Handling			High	Medium	Medium	Medium	Incorrect Format Assumptions		
Pycord-Development	pycord	Task repeats a Hundred Billion Times when task's timezone is not UTC	https://github.com/Pycord-Development/pycord/issues/2187	https://github.com/Pycord-Development/pycord/pull/2196	2671.0	0.4367994297	4114.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Low	High	Medium	Medium	Using NaÃ¯ve Datetime Incorrectly		
sdispater	pendulum	Pendulum can not find timezone on Alpine docker, resulting in `.now()` being broken	https://github.com/sdispater/pendulum/issues/715	https://github.com/sdispater/pendulum/commit/879250702da7e2f51e27c122d8d53cbbb3b734fd	6109.0	0.4363678703	2805.0	1.0	0.0	1.0	Time Zone		Datetime (Construction)	Time Zone Localization		Low	High	Low	Low	Using NaÃ¯ve Datetime Incorrectly		
pydantic	pydantic	Serialization -> de-serialisation fails for small timedelta (< 100 microseconds)	https://github.com/pydantic/pydantic/issues/3315	https://github.com/pydantic/pydantic/pull/3346	19350.0	0.435709689	2181.0	1.0	0.0	0.0	Duration		String Handling	Time Delta		Medium	Medium	Low	Low	Precision of Representation	Incorrect Format Assumptions	
tobymao	sqlglot	Optimizer Error - CAST(string column) + time interval	https://github.com/tobymao/sqlglot/issues/918	https://github.com/tobymao/sqlglot/pull/922	5871.0	0.4298240087	1459.0	1.0	0.0	0.0	Calendar Date	Timestamps	Datetime (Construction)			Low	High	Medium	Medium	Incorrect API Usage		
danielgtaylor	python-betterproto	Timestamp bad parsing	https://github.com/danielgtaylor/python-betterproto/issues/407	https://github.com/Gobot1234/python-betterproto/commit/193c9137c3af9f4a88aa3f75d56429314243d510	1423.0	0.42779501	9372.0	1.0	0.0	0.0	Timestamps		Datetime (Construction)			Medium	Medium	Medium	Medium	OOB Datetimes or Timestamps		
sdispater	pendulum	Duration methods (total_days(), in_days()) return incorrect values and/or do not match docs	https://github.com/sdispater/pendulum/issues/475	https://github.com/sdispater/pendulum/pull/482	6109.0	0.4277014632	2924.0	1.0	0.0	1.0	Duration		Datetime (Component)	Time Delta	Time Delta	Low	Medium	High	High	Unintuitive Arithmetic		
scrapinghub	dateparser	Timezone confusion (mine)	https://github.com/scrapinghub/dateparser/issues/212	https://github.com/scrapinghub/dateparser/pull/235	2480.0	0.4273058764	1198.0	1.0	0.0	0.0	Time Zone	String Representation	String Handling	Datetime (Construction)		Medium	Medium	High	High	Incorrect Format Assumptions		
quantopian	trading_calendars	TypeError: data is already tz-aware UTC in get_calendar()	https://github.com/quantopian/trading_calendars/issues/45	https://github.com/quantopian/trading_calendars/pull/48	605.0	0.4270354022	1261.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)	Datetime (Arithmetic)		Low	Medium	Very High	Low	General	Comparing Time Zones	Incorrect Format Assumptions
zulip	zulip	Replace naive datetimes in the asana, basecamp, and codebase integrations.	https://github.com/zulip/zulip/issues/3809	https://github.com/roberthoenig/zulip/commit/f07704b6018505b510d27543e34fa9bda590c5f5	20271.0	0.4270049814	2106.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Low	Low	Low	Low	Using NaÃ¯ve Datetime Incorrectly		
pydantic	pydantic	Date string coerced to datetime infers timezone	https://github.com/pydantic/pydantic/issues/8762	https://github.com/pydantic/pydantic-core/pull/1193	19350.0	0.4257122641	2670.0	1.0	0.0	0.0	Time Zone		Datetime (Construction)			Low	Medium	Low	Low	Using NaÃ¯ve Datetime Incorrectly		
NatLibFi	Annif	Problem parsing timestamps from Maui Server	https://github.com/NatLibFi/Annif/issues/431	https://github.com/NatLibFi/Annif/commit/bd1c68f8933db6ba183b0771bfd6e211cd9f19c9	186.0	0.4251568676	1144.0	1.0	0.0	0.0	Time Zone		String Handling	Datetime (Construction)		Low	High	Medium	Medium	Incorrect Format Assumptions	Using NaÃ¯ve Datetime Incorrectly	
nautobot	nautobot	Weekly job executing after 6 days instead of 7	https://github.com/nautobot/nautobot/issues/2426	https://github.com/nautobot/nautobot/pull/2670	922.0	0.4229286636	1781.0	1.0	0.0	0.0	String Representation	Calendar Date	String Handling	Datetime (Construction)		Low	Medium	Low	Low	Incorrect Format Assumptions		
GoogleCloudPlatform	professional-services-data-validator	validate column: error handling a very large timestamp '9999-12-31 23:59:59'	https://github.com/GoogleCloudPlatform/professional-services-data-validator/issues/1053	https://github.com/GoogleCloudPlatform/professional-services-data-validator/pull/1117	382.0	0.422801515	4198.0	1.0	0.0	0.0	String Representation	Timestamps	String Handling	Datetime (Component)		Medium	Medium	High	Medium	OOB Datetimes or Timestamps		
frictionlessdata	frictionless-py	"Pandas warning ""Comparison of Timestamp"""	https://github.com/frictionlessdata/frictionless-py/issues/1210	https://github.com/frictionlessdata/frictionless-py/pull/1338	683.0	0.4222483268	2405.0	1.0	0.0	0.0	Other		Datetime (Construction)			Low	Low	Medium	Low	Outdated/Deprecated APIs		
apache	airflow	Task and dagrun duration y-axis is incorrect if the last task has a different duration unit	https://github.com/apache/airflow/issues/38371	https://github.com/apache/airflow/pull/38374	35031.0	0.3990044156	2416.0	1.0	0.0	1.0	Duration		Time Delta			Medium	Low	Medium	Medium	Precision of Representation		
dateutil	dateutil	Test failure: test_tzlocal_offset_equal[GMT-tzoff1] (dateutil 2.8.0)	https://github.com/dateutil/dateutil/issues/918	https://github.com/dateutil/dateutil/pull/928	2266.0	0.3905171625	11087.0	1.0	0.0	0.0	Time Zone		Time Zone Localization	Datetime (Component)		High	Low	Low	Low	General	Comparing Time Zones	
