name,url,description,stars,primaryLanguage,updatedAt,createdAt,issuesCount,forkCount,watchersCount,discussionsCount,contains_import
public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,295954,Python,2024-06-11T18:26:22Z,2016-03-20T23:49:42Z,583,32126,4123,0,0
system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,260247,Python,2024-06-11T18:41:58Z,2017-02-26T16:15:28Z,283,44233,6662,0,0
awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",209512,Python,2024-06-11T18:41:49Z,2014-06-27T21:00:06Z,0,24577,6000,0,0
Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,181296,Python,2024-06-11T18:44:53Z,2016-07-16T09:44:01Z,1451,43888,5929,58,1
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",162950,Python,2024-06-11T17:29:33Z,2023-03-16T09:21:07Z,2225,43131,1555,1084,1
Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100å¤©ä»Žæ–°æ‰‹åˆ°å¤§å¸ˆ,151569,Python,2024-06-11T16:49:46Z,2018-03-01T16:05:52Z,636,51509,6136,0,1
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,133448,Python,2024-06-11T18:48:54Z,2022-08-22T14:05:26Z,7453,25587,1039,4783,1
youtube-dl,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,129343,Python,2024-06-11T18:42:14Z,2010-10-31T14:35:07Z,26517,9723,2198,0,1
transformers,https://github.com/huggingface/transformers,"ðŸ¤— Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",127430,Python,2024-06-11T18:39:22Z,2018-10-29T13:56:00Z,14975,25257,1101,0,1
