repoName,label,url,diffPreview
TheAlgorithms/Python,"[TheAlgorithms/Python](/github.com/TheAlgorithms/Python) › [Andrew Grangaard](/github.com/TheAlgorithms/Python/-/commit/a281151a2c0140dda718186cf82329168e65cf96): [Delete other/date_to_weekday.py as a how-to-use, not an algorithm (#5591)](/github.com/TheAlgorithms/Python/-/commit/a281151a2c0140dda718186cf82329168e65cf96)",/github.com/TheAlgorithms/Python/-/commit/a281151a2c0140dda718186cf82329168e65cf96,<diff redacted>
Significant-Gravitas/AutoGPT,[Significant-Gravitas/AutoGPT](/github.com/Significant-Gravitas/AutoGPT) › [Reinier van der Leer](/github.com/Significant-Gravitas/AutoGPT/-/commit/25cc6ad6ae651c3b925ab9447421337c2f4b68e1): [AGBenchmark codebase clean-up (#6650)](/github.com/Significant-Gravitas/AutoGPT/-/commit/25cc6ad6ae651c3b925ab9447421337c2f4b68e1),/github.com/Significant-Gravitas/AutoGPT/-/commit/25cc6ad6ae651c3b925ab9447421337c2f4b68e1,<diff redacted>
Significant-Gravitas/AutoGPT,[Significant-Gravitas/AutoGPT](/github.com/Significant-Gravitas/AutoGPT) › [SwiftyOS](/github.com/Significant-Gravitas/AutoGPT/-/commit/9eb01d85a384ead1b4de096a4deb591288a8d5bb): [fixed multiple report folder bug](/github.com/Significant-Gravitas/AutoGPT/-/commit/9eb01d85a384ead1b4de096a4deb591288a8d5bb),/github.com/Significant-Gravitas/AutoGPT/-/commit/9eb01d85a384ead1b4de096a4deb591288a8d5bb,<diff redacted>
jackfrued/Python-100-Days,[jackfrued/Python-100-Days](/github.com/jackfrued/Python-100-Days) › [jackfrued](/github.com/jackfrued/Python-100-Days/-/commit/95c73fefa39a87e4b5794f761a2e3d7715497f95): [修改了文档中的bug](/github.com/jackfrued/Python-100-Days/-/commit/95c73fefa39a87e4b5794f761a2e3d7715497f95),/github.com/jackfrued/Python-100-Days/-/commit/95c73fefa39a87e4b5794f761a2e3d7715497f95,<diff redacted>
jackfrued/Python-100-Days,[jackfrued/Python-100-Days](/github.com/jackfrued/Python-100-Days) › [jackfrued](/github.com/jackfrued/Python-100-Days/-/commit/fe71d2781d0fb80fc7ed29fb73610e8dbcf382d5): [修复了部分文档和代码中的bug](/github.com/jackfrued/Python-100-Days/-/commit/fe71d2781d0fb80fc7ed29fb73610e8dbcf382d5),/github.com/jackfrued/Python-100-Days/-/commit/fe71d2781d0fb80fc7ed29fb73610e8dbcf382d5,<diff redacted>
jackfrued/Python-100-Days,[jackfrued/Python-100-Days](/github.com/jackfrued/Python-100-Days) › [jackfrued](/github.com/jackfrued/Python-100-Days/-/commit/8ff2063fb1d77a9924d7d9dcd75aae1e92ebfb98): [更新了文档目录的bug](/github.com/jackfrued/Python-100-Days/-/commit/8ff2063fb1d77a9924d7d9dcd75aae1e92ebfb98),/github.com/jackfrued/Python-100-Days/-/commit/8ff2063fb1d77a9924d7d9dcd75aae1e92ebfb98,<diff redacted>
AUTOMATIC1111/stable-diffusion-webui,[AUTOMATIC1111/stable-diffusion-webui](/github.com/AUTOMATIC1111/stable-diffusion-webui) › [zhaohu xing](/github.com/AUTOMATIC1111/stable-diffusion-webui/-/commit/52cc83d36b7663a77b79fd2258d2ca871af73e55): [fix bugs](/github.com/AUTOMATIC1111/stable-diffusion-webui/-/commit/52cc83d36b7663a77b79fd2258d2ca871af73e55),/github.com/AUTOMATIC1111/stable-diffusion-webui/-/commit/52cc83d36b7663a77b79fd2258d2ca871af73e55,<diff redacted>
ytdl-org/youtube-dl,"[ytdl-org/youtube-dl](/github.com/ytdl-org/youtube-dl) › [Kevin Ngo](/github.com/ytdl-org/youtube-dl/-/commit/b20d4f8626783ae61f5865a4d9aa3f460053c9a4): [changed spaces to tabs (by yt-dl standards), fixed bugs, but still won't download. need to figure out how the whole process works to integrate correctly](/github.com/ytdl-org/youtube-dl/-/commit/b20d4f8626783ae61f5865a4d9aa3f460053c9a4)",/github.com/ytdl-org/youtube-dl/-/commit/b20d4f8626783ae61f5865a4d9aa3f460053c9a4,<diff redacted>
huggingface/transformers,[huggingface/transformers](/github.com/huggingface/transformers) › [Matt](/github.com/huggingface/transformers/-/commit/edc1dffd00d62ad1910da0100f7a18055c43665c): [Chat Template support for function calling and RAG (#30621)](/github.com/huggingface/transformers/-/commit/edc1dffd00d62ad1910da0100f7a18055c43665c),/github.com/huggingface/transformers/-/commit/edc1dffd00d62ad1910da0100f7a18055c43665c,<diff redacted>
huggingface/transformers,[huggingface/transformers](/github.com/huggingface/transformers) › [NielsRogge](/github.com/huggingface/transformers/-/commit/1551e2dc6d27e7eba88d89fdfaf16bce82a3c573): [[WIP] Tapas v4 (tres) (#9117)](/github.com/huggingface/transformers/-/commit/1551e2dc6d27e7eba88d89fdfaf16bce82a3c573),/github.com/huggingface/transformers/-/commit/1551e2dc6d27e7eba88d89fdfaf16bce82a3c573,<diff redacted>
huggingface/transformers,[huggingface/transformers](/github.com/huggingface/transformers) › [Julien Plu](/github.com/huggingface/transformers/-/commit/f9414f7553d3f1872b372990ef03205c0d1141df): [Tensorflow improvements (#4530)](/github.com/huggingface/transformers/-/commit/f9414f7553d3f1872b372990ef03205c0d1141df),/github.com/huggingface/transformers/-/commit/f9414f7553d3f1872b372990ef03205c0d1141df,<diff redacted>
huggingface/transformers,[huggingface/transformers](/github.com/huggingface/transformers) › [Patrick von Platen](/github.com/huggingface/transformers/-/commit/96f57c9ccb6363623005fb3f05166dfd7acb3f53): [[Benchmark] Memory benchmark utils (#4198)](/github.com/huggingface/transformers/-/commit/96f57c9ccb6363623005fb3f05166dfd7acb3f53),/github.com/huggingface/transformers/-/commit/96f57c9ccb6363623005fb3f05166dfd7acb3f53,<diff redacted>
huggingface/transformers,[huggingface/transformers](/github.com/huggingface/transformers) › [Julien Chaumond](/github.com/huggingface/transformers/-/commit/0ae96ff8a7e2d371242452d81bee85da8df202f5): [BIG Reorganize examples  (#4213)](/github.com/huggingface/transformers/-/commit/0ae96ff8a7e2d371242452d81bee85da8df202f5),/github.com/huggingface/transformers/-/commit/0ae96ff8a7e2d371242452d81bee85da8df202f5,<diff redacted>
huggingface/transformers,[huggingface/transformers](/github.com/huggingface/transformers) › [Julien Plu](/github.com/huggingface/transformers/-/commit/aad50151f35b934039c455242c433a24f011cc93): [TF version of the trainer (#4017)](/github.com/huggingface/transformers/-/commit/aad50151f35b934039c455242c433a24f011cc93),/github.com/huggingface/transformers/-/commit/aad50151f35b934039c455242c433a24f011cc93,<diff redacted>
